Ref,Soil,Site,Field,Method,Depth.cm_Top,Depth.cm_Bottom,Height.cm,Dia.cm,Ksat,Units_Ksat,Stdev_Ksat,Ksat_cmhr,Stdev_Ksat_cmhr,Db,Stdev_Db,Calculated_Db,Mean_Db,VCOS,COS,MS,FS,VFS,Sand,Silt,Clay,Stdev_Sand,Stdev_Silt,Stdev_Clay,Stdev_Coarsefragment,Coarsefraction,Texclass,TexModifier_code,Texclass_Code,Tex_additional_info,Texture_unknown,Structure,OC,Stdev_OC,OM,Units_OM,Horizon,Th_sat,Ref2,Remark
1,Groseclose,I/6,Lab,Falling Head,,,4,5.4,9.16E-6,m/s,,3.2976,,1.51,,,,11,5.1,4.8,6.1,5.1,32,56.1,11.9,,,,,,,,,,,,,,4.5,,,,,
1,Groseclose,I/6,Lab,Falling Head,,,4,5.4,2.31E-7,m/s,,0.08316,,1.66,,,,2.8,2.2,2.7,4.3,5.8,17.3,59.3,23.4,,,,,,,,,,,,,,0.2,,,,,
1,Groseclose,I/7,Lab,Falling Head,,,4,5.4,8.55E-6,m/s,,3.078,,1.57,,,,9.8,4.3,4.1,4.7,5.2,28.2,56.4,15.3,,,,,,,,,,,,,,3.3,,,,,
1,Groseclose,I/7,Lab,Falling Head,,,4,5.4,1.99E-8,m/s,,0.007164,,1.39,,,,0.3,0.8,0.9,1.5,3.2,6.8,43.5,49.8,,,,,,,,,,,,,,0.2,,,,,
1,Groseclose,I/8,Lab,Falling Head,,,4,5.4,8.34E-6,m/s,,3.0024,,1.32,,,,7.6,4.8,4,4.7,4.9,26.2,61.8,12.1,,,,,,,,,,,,,,3.2,,,,,
1,Groseclose,I/8,Lab,Falling Head,,,4,5.4,2.26E-6,m/s,,0.8136,,1.41,,,,0.9,1.4,1.1,1.4,2.6,7.5,48.2,44.3,,,,,,,,,,,,,,0.3,,,,,
1,Groseclose,I/9,Lab,Falling Head,,,4,5.4,1.85E-5,m/s,,6.66,,1.37,,,,12.8,4.6,3.9,4.8,5.2,31.1,57.9,11,,,,,,,,,,,,,,2.9,,,,,
1,Groseclose,I/9,Lab,Falling Head,,,4,5.4,4.61E-5,m/s,,16.596,,1.49,,,,0.3,0.5,0.8,1.6,2.1,5.4,54.7,39.9,,,,,,,,,,,,,,0.4,,,,,
1,Groseclose,I/10,Lab,Falling Head,,,4,5.4,1.4E-6,m/s,,0.504,,1.43,,,,9.7,6.2,3.9,4.4,3.2,27.4,61.7,10.9,,,,,,,,,,,,,,3.1,,,,,
1,Groseclose,I/10,Lab,Falling Head,,,4,5.4,1.62E-6,m/s,,0.5832,,1.39,,,,2.8,1.9,1.5,1.8,2.2,10.3,30.4,59.3,,,,,,,,,,,,,,0.3,,,,,
1,Groseclose,I/11,Lab,Falling Head,,,4,5.4,2.44E-6,m/s,,0.8784,,1.39,,,,9,6.7,4,3.9,4.5,28.1,61.3,10.6,,,,,,,,,,,,,,3.2,,,,,
1,Groseclose,I/11,Lab,Falling Head,,,4,5.4,2.55E-6,m/s,,0.918,,1.42,,,,1.2,1.7,1.4,2.4,3.5,10.2,36.7,53.1,,,,,,,,,,,,,,0.3,,,,,
1,Groseclose,I/12,Lab,Falling Head,,,4,5.4,2.59E-7,m/s,,0.09324,,1.47,,,,8.1,6.9,4.4,5.2,4.7,29.2,60,10.9,,,,,,,,,,,,,,3.2,,,,,
1,Groseclose,I/13,Lab,Falling Head,,,4,5.4,2.21E-6,m/s,,0.7956,,1.49,,,,7.4,4.7,4.2,4.1,4.3,24.6,56,19.5,,,,,,,,,,,,,,4.7,,,,,
1,Groseclose,I/13,Lab,Falling Head,,,4,5.4,3.24E-6,m/s,,1.1664,,1.38,,,,1.2,1.7,1.3,1.3,1.5,7.2,30.6,62.2,,,,,,,,,,,,,,0.5,,,,,
1,Groseclose,I/14,Lab,Falling Head,,,4,5.4,3.58E-6,m/s,,1.2888,,1.42,,,,6.3,4.4,4,4.8,4.3,23.7,56.7,19.6,,,,,,,,,,,,,,4.3,,,,,
1,Groseclose,I/14,Lab,Falling Head,,,4,5.4,2.07E-7,m/s,,0.07452,,1.39,,,,0.9,1.6,1.8,2.9,2.4,9.5,24.5,65.9,,,,,,,,,,,,,,0.8,,,,,
1,Groseclose,I/15,Lab,Falling Head,,,4,5.4,1.23E-6,m/s,,0.4428,,1.48,,,,5.2,3.8,3.6,4.1,3.5,20,59,20.9,,,,,,,,,,,,,,3.7,,,,,
1,Groseclose,I/15,Lab,Falling Head,,,4,5.4,2.31E-7,m/s,,0.08316,,1.34,,,,1,1,1.3,2.1,2.8,8.3,33.1,58.6,,,,,,,,,,,,,,0.8,,,,,
1,Groseclose,I/16,Lab,Falling Head,,,4,5.4,2.26E-6,m/s,,0.8136,,1.45,,,,5.3,4.8,3.2,5.5,4.1,22.8,55.6,21.6,,,,,,,,,,,,,,4.2,,,,,
1,Groseclose,I/16,Lab,Falling Head,,,4,5.4,5.46E-5,m/s,,19.656,,1.16,,,,1.7,1.1,1,1.5,1.5,6.8,31.8,61.5,,,,,,,,,,,,,,1.1,,,,,
